county_name,Year,Series,Permits
Cobb,1998,Single-family,6711.0
Cobb,1999,All,8008.0
Cobb,1999,Multi-family,865.0
Cobb,1999,Single-family,7143.0
Cobb,2000,All,6642.0
Cobb,2000,Multi-family,1187.0
Cobb,2000,Single-family,5455.0
Cobb,2001,All,5657.0
Cobb,2001,Multi-family,1144.0
Cobb,2001,Single-family,4513.0
Cobb,2002,All,5556.0
Cobb,2002,Multi-family,853.0
Cobb,2002,Single-family,4703.0
Cobb,2003,All,5963.0
Cobb,2003,Multi-family,970.0
Cobb,2003,Single-family,4993.0
Cobb,2004,All,6889.0
Cobb,2004,Multi-family,1457.0
Cobb,2004,Single-family,5432.0
Cobb,2005,All,6142.0
Cobb,2005,Multi-family,1019.0
Cobb,2005,Single-family,5123.0
Cobb,2006,All,4518.0
Cobb,2006,Multi-family,1172.0
Cobb,2006,Single-family,3346.0
Cobb,2007,All,2945.0
Cobb,2007,Multi-family,1044.0
Cobb,2007,Single-family,1901.0
Cobb,2008,All,1068.0
Cobb,2008,Multi-family,341.0
Cobb,2008,Single-family,727.0
Cobb,2009,All,550.0
Cobb,2009,Multi-family,141.0
Cobb,2009,Single-family,409.0
Cobb,2010,All,1013.0
Cobb,2010,Multi-family,300.0
Cobb,2010,Single-family,713.0
Cobb,2011,All,1758.0
Cobb,2011,Multi-family,872.0
Cobb,2011,Single-family,886.0
Cobb,2012,All,2245.0
Cobb,2012,Multi-family,1052.0
Cobb,2012,Single-family,1193.0
Cobb,2013,All,2676.0
Cobb,2013,Multi-family,1082.0
Cobb,2013,Single-family,1594.0
Cobb,2014,All,3103.0
Cobb,2014,Multi-family,1712.0
Cobb,2014,Single-family,1391.0
Cobb,2015,All,2129.0
Cobb,2015,Multi-family,652.0
Cobb,2015,Single-family,1477.0
Cobb,2016,All,4017.0
Cobb,2016,Multi-family,2363.0
Cobb,2016,Single-family,1654.0
Cobb,2017,All,2629.0
Cobb,2017,Multi-family,1065.0
Cobb,2017,Single-family,1564.0
Cobb,2018,All,2790.0
Cobb,2018,Multi-family,1117.0
Cobb,2018,Single-family,1673.0
Cobb,2019,All,3589.0
Cobb,2019,Multi-family,2008.0
Cobb,2019,Single-family,1581.0
Cobb,2020,All,2494.0
Cobb,2020,Multi-family,683.0
Cobb,2020,Single-family,1811.0
Cobb,2021,All,3247.0
Cobb,2021,Multi-family,1300.0
Cobb,2021,Single-family,1947.0
Cobb,2022,All,2873.0
Cobb,2022,Multi-family,1502.0
Cobb,2022,Single-family,1371.0
Cobb,2023,All,2956.0
Cobb,2023,Multi-family,1804.0
Cobb,2023,Single-family,1152.0
Cobb,2024,All,1625.0
Cobb,2024,Multi-family,461.0
Cobb,2024,Single-family,1164.0
Cobb,2024,All,1625.0
Cobb,2024,Multi-family,461.0
Cobb,2024,Single-family,1164.0
DeKalb,1980,All,2660.0
DeKalb,1980,Multi-family,959.0
DeKalb,1980,Single-family,1701.0
DeKalb,1981,All,1937.0
DeKalb,1981,Multi-family,418.0
DeKalb,1981,Single-family,1519.0
DeKalb,1982,All,3301.0
DeKalb,1982,Multi-family,999.0
DeKalb,1982,Single-family,2302.0
DeKalb,1983,All,7747.0
DeKalb,1983,Multi-family,3865.0
DeKalb,1983,Single-family,3882.0
DeKalb,1984,All,6468.0
DeKalb,1984,Multi-family,2734.0
DeKalb,1984,Single-family,3734.0
DeKalb,1985,All,7089.0
DeKalb,1985,Multi-family,2974.0
DeKalb,1985,Single-family,4115.0
DeKalb,1986,All,6896.0
DeKalb,1986,Multi-family,2613.0
DeKalb,1986,Single-family,4283.0
DeKalb,1987,All,6057.0
DeKalb,1987,Multi-family,3008.0
DeKalb,1987,Single-family,3049.0
DeKalb,1988,All,8487.0
