City,Year,Series,Permits,provisional
Berkeley Lake,1995,Single-family,0,False
Berkeley Lake,1996,Multi-family,0,False
Berkeley Lake,1996,Single-family,0,False
Berkeley Lake,1997,Multi-family,0,False
Berkeley Lake,1997,Single-family,0,False
Berkeley Lake,1998,Multi-family,0,False
Berkeley Lake,1998,Single-family,0,False
Berkeley Lake,1999,Multi-family,0,False
Berkeley Lake,1999,Single-family,0,False
Berkeley Lake,2000,Multi-family,0,False
Berkeley Lake,2000,Single-family,0,False
Berkeley Lake,2001,Multi-family,0,False
Berkeley Lake,2001,Single-family,0,False
Berkeley Lake,2002,Multi-family,0,False
Berkeley Lake,2002,Single-family,0,False
Berkeley Lake,2003,Multi-family,0,False
Berkeley Lake,2003,Single-family,0,False
Berkeley Lake,2004,Multi-family,0,False
Berkeley Lake,2004,Single-family,0,False
Berkeley Lake,2005,Multi-family,0,False
Berkeley Lake,2005,Single-family,0,False
Berkeley Lake,2006,Multi-family,0,False
Berkeley Lake,2006,Single-family,0,False
Berkeley Lake,2007,Multi-family,0,False
Berkeley Lake,2007,Single-family,0,False
Berkeley Lake,2008,Multi-family,0,False
Berkeley Lake,2008,Single-family,0,False
Berkeley Lake,2009,Multi-family,0,False
Berkeley Lake,2009,Single-family,0,False
Berkeley Lake,2010,Multi-family,0,False
Berkeley Lake,2010,Single-family,0,False
Berkeley Lake,2011,Multi-family,0,False
Berkeley Lake,2011,Single-family,0,False
Berkeley Lake,2012,Multi-family,0,False
Berkeley Lake,2012,Single-family,0,False
Berkeley Lake,2013,Multi-family,0,False
Berkeley Lake,2013,Single-family,7,False
Berkeley Lake,2014,Multi-family,0,False
Berkeley Lake,2014,Single-family,9,False
Berkeley Lake,2015,Multi-family,0,False
Berkeley Lake,2015,Single-family,14,False
Berkeley Lake,2016,Multi-family,0,False
Berkeley Lake,2016,Single-family,15,False
Berkeley Lake,2017,Multi-family,0,False
Berkeley Lake,2017,Single-family,13,False
Berkeley Lake,2018,Multi-family,0,False
Berkeley Lake,2018,Single-family,7,False
Berkeley Lake,2019,Multi-family,0,False
Berkeley Lake,2019,Single-family,0,False
Berkeley Lake,2020,Multi-family,0,False
Berkeley Lake,2020,Single-family,5,False
Berkeley Lake,2021,Multi-family,0,False
Berkeley Lake,2021,Single-family,2,False
Berkeley Lake,2022,Multi-family,0,False
Berkeley Lake,2022,Single-family,3,False
Berkeley Lake,2023,Multi-family,0,False
Berkeley Lake,2023,Single-family,0,False
Berkeley Lake,2024,Multi-family,0,False
Berkeley Lake,2024,Single-family,2,False
Berkeley Lake,2025,Multi-family,0,True
Berkeley Lake,2025,Single-family,0,True
Berkeley Lake,2026,Multi-family,0,True
Berkeley Lake,2026,Single-family,0,True
Brookhaven,1980,Multi-family,0,False
Brookhaven,1980,Single-family,0,False
Brookhaven,1981,Multi-family,0,False
Brookhaven,1981,Single-family,0,False
Brookhaven,1982,Multi-family,0,False
Brookhaven,1982,Single-family,0,False
Brookhaven,1983,Multi-family,0,False
Brookhaven,1983,Single-family,0,False
Brookhaven,1984,Multi-family,0,False
Brookhaven,1984,Single-family,0,False
Brookhaven,1985,Multi-family,0,False
Brookhaven,1985,Single-family,0,False
Brookhaven,1986,Multi-family,0,False
Brookhaven,1986,Single-family,0,False
Brookhaven,1987,Multi-family,0,False
Brookhaven,1987,Single-family,0,False
Brookhaven,1988,Multi-family,0,False
Brookhaven,1988,Single-family,0,False
Brookhaven,1989,Multi-family,0,False
Brookhaven,1989,Single-family,0,False
Brookhaven,1990,Multi-family,0,False
Brookhaven,1990,Single-family,0,False
Brookhaven,1991,Multi-family,0,False
Brookhaven,1991,Single-family,0,False
Brookhaven,1992,Multi-family,0,False
Brookhaven,1992,Single-family,0,False
Brookhaven,1993,Multi-family,0,False
Brookhaven,1993,Single-family,0,False
Brookhaven,1994,Multi-family,0,False
Brookhaven,1994,Single-family,0,False
Brookhaven,1995,Multi-family,0,False
Brookhaven,1995,Single-family,0,False
Brookhaven,1996,Multi-family,0,False
Brookhaven,1996,Single-family,0,False
Brookhaven,1997,Multi-family,0,False
Brookhaven,1997,Single-family,0,False
Brookhaven,1998,Multi-family,0,False
Brookhaven,1998,Single-family,0,False
Brookhaven,1999,Multi-family,0,False
Brookhaven,1999,Single-family,0,False
Brookhaven,2000,Multi-family,0,False
Brookhaven,2000,Single-family,0,False
Brookhaven,2001,Multi-family,0,False
Brookhaven,2001,Single-family,0,False
Brookhaven,2002,Multi-family,0,False
Brookhaven,2002,Single-family,0,False
Brookhaven,2003,Multi-family,0,False
Brookhaven,2003,Single-family,0,False
Brookhaven,2004,Multi-family,0,False
Brookhaven,2004,Single-family,0,False
Brookhaven,2005,Multi-family,0,False
Brookhaven,2005,Single-family,0,False
Brookhaven,2006,Multi-family,0,False
Brookhaven,2006,Single-family,0,False
Brookhaven,2007,Multi-family,0,False
Brookhaven,2007,Single-family,0,False
Brookhaven,2008,Multi-family,0,False
Brookhaven,2008,Single-family,0,False
Brookhaven,2009,Multi-family,0,False
Brookhaven,2009,Single-family,0,False
Brookhaven,2010,Multi-family,0,False
Brookhaven,2010,Single-family,0,False
Brookhaven,2011,Multi-family,0,False
Brookhaven,2011,Single-family,0,False
