city,month_year,date,Series,Permits
Chattahoochee Hills,Sep 2023,2023-09-01,Single-Family,5.0
Chattahoochee Hills,Oct 2023,2023-10-01,Multi-Family,0.0
Chattahoochee Hills,Oct 2023,2023-10-01,Single-Family,6.0
Chattahoochee Hills,Nov 2023,2023-11-01,Multi-Family,0.0
Chattahoochee Hills,Nov 2023,2023-11-01,Single-Family,7.0
Chattahoochee Hills,Dec 2023,2023-12-01,Multi-Family,0.0
Chattahoochee Hills,Dec 2023,2023-12-01,Single-Family,4.0
Chattahoochee Hills,Jan 2024,2024-01-01,Multi-Family,0.0
Chattahoochee Hills,Jan 2024,2024-01-01,Single-Family,12.0
Chattahoochee Hills,Feb 2024,2024-02-01,Multi-Family,0.0
Chattahoochee Hills,Feb 2024,2024-02-01,Single-Family,7.0
Chattahoochee Hills,Mar 2024,2024-03-01,Multi-Family,0.0
Chattahoochee Hills,Mar 2024,2024-03-01,Single-Family,6.0
Chattahoochee Hills,Apr 2024,2024-04-01,Multi-Family,0.0
Chattahoochee Hills,Apr 2024,2024-04-01,Single-Family,8.0
Chattahoochee Hills,May 2024,2024-05-01,Multi-Family,0.0
Chattahoochee Hills,May 2024,2024-05-01,Single-Family,4.0
Chattahoochee Hills,Jun 2024,2024-06-01,Multi-Family,0.0
Chattahoochee Hills,Jun 2024,2024-06-01,Single-Family,2.0
Chattahoochee Hills,Jul 2024,2024-07-01,Multi-Family,0.0
Chattahoochee Hills,Jul 2024,2024-07-01,Single-Family,4.0
Chattahoochee Hills,Aug 2024,2024-08-01,Multi-Family,0.0
Chattahoochee Hills,Aug 2024,2024-08-01,Single-Family,2.0
Chattahoochee Hills,Sep 2024,2024-09-01,Multi-Family,0.0
Chattahoochee Hills,Sep 2024,2024-09-01,Single-Family,3.0
Clarkston,Apr 2023,2023-04-01,Multi-Family,0.0
Clarkston,Apr 2023,2023-04-01,Single-Family,0.0
Clarkston,May 2023,2023-05-01,Multi-Family,0.0
Clarkston,May 2023,2023-05-01,Single-Family,0.0
Clarkston,Jun 2023,2023-06-01,Multi-Family,0.0
Clarkston,Jun 2023,2023-06-01,Single-Family,0.0
Clarkston,Jul 2023,2023-07-01,Multi-Family,0.0
Clarkston,Jul 2023,2023-07-01,Single-Family,0.0
Clarkston,Aug 2023,2023-08-01,Multi-Family,0.0
Clarkston,Aug 2023,2023-08-01,Single-Family,0.0
Clarkston,Sep 2023,2023-09-01,Multi-Family,0.0
Clarkston,Sep 2023,2023-09-01,Single-Family,0.0
Clarkston,Oct 2023,2023-10-01,Multi-Family,0.0
Clarkston,Oct 2023,2023-10-01,Single-Family,0.0
Clarkston,Nov 2023,2023-11-01,Multi-Family,2.0
Clarkston,Nov 2023,2023-11-01,Single-Family,0.0
Clarkston,Dec 2023,2023-12-01,Multi-Family,0.0
Clarkston,Dec 2023,2023-12-01,Single-Family,0.0
Clarkston,Jan 2024,2024-01-01,Multi-Family,0.0
Clarkston,Jan 2024,2024-01-01,Single-Family,0.0
Clarkston,Feb 2024,2024-02-01,Multi-Family,0.0
