county_name,date,month_year,year,Series,Permits
Forsyth,2024-06-01,Jun 2024,2024,Single-Family,100.0
Forsyth,2024-06-01,Jun 2024,2024,Multi-Family,0.0
Forsyth,2024-07-01,Jul 2024,2024,Single-Family,124.0
Forsyth,2024-07-01,Jul 2024,2024,Multi-Family,0.0
Fulton,2023-02-01,Feb 2023,2023,Single-Family,192.0
Fulton,2023-02-01,Feb 2023,2023,Multi-Family,678.0
Fulton,2023-03-01,Mar 2023,2023,Single-Family,253.0
Fulton,2023-03-01,Mar 2023,2023,Multi-Family,403.0
Fulton,2023-04-01,Apr 2023,2023,Single-Family,224.0
Fulton,2023-04-01,Apr 2023,2023,Multi-Family,716.0
Fulton,2023-05-01,May 2023,2023,Single-Family,318.0
Fulton,2023-05-01,May 2023,2023,Multi-Family,683.0
Fulton,2023-06-01,Jun 2023,2023,Single-Family,197.0
Fulton,2023-06-01,Jun 2023,2023,Multi-Family,721.0
Fulton,2023-07-01,Jul 2023,2023,Single-Family,320.0
Fulton,2023-07-01,Jul 2023,2023,Multi-Family,681.0
Fulton,2023-08-01,Aug 2023,2023,Single-Family,319.0
Fulton,2023-08-01,Aug 2023,2023,Multi-Family,418.0
Fulton,2023-09-01,Sep 2023,2023,Single-Family,191.0
Fulton,2023-09-01,Sep 2023,2023,Multi-Family,250.0
Fulton,2023-10-01,Oct 2023,2023,Single-Family,188.0
Fulton,2023-10-01,Oct 2023,2023,Multi-Family,366.0
Fulton,2023-11-01,Nov 2023,2023,Single-Family,240.0
Fulton,2023-11-01,Nov 2023,2023,Multi-Family,282.0
Fulton,2023-12-01,Dec 2023,2023,Single-Family,217.0
Fulton,2023-12-01,Dec 2023,2023,Multi-Family,351.0
Fulton,2024-01-01,Jan 2024,2024,Single-Family,284.0
Fulton,2024-01-01,Jan 2024,2024,Multi-Family,899.0
Fulton,2024-02-01,Feb 2024,2024,Single-Family,225.0
Fulton,2024-02-01,Feb 2024,2024,Multi-Family,858.0
Fulton,2024-03-01,Mar 2024,2024,Single-Family,254.0
Fulton,2024-03-01,Mar 2024,2024,Multi-Family,849.0
Fulton,2024-04-01,Apr 2024,2024,Single-Family,234.0
Fulton,2024-04-01,Apr 2024,2024,Multi-Family,530.0
Fulton,2024-05-01,May 2024,2024,Single-Family,247.0
Fulton,2024-05-01,May 2024,2024,Multi-Family,824.0
Fulton,2024-06-01,Jun 2024,2024,Single-Family,215.0
Fulton,2024-06-01,Jun 2024,2024,Multi-Family,408.0
Fulton,2024-07-01,Jul 2024,2024,Single-Family,309.0
Fulton,2024-07-01,Jul 2024,2024,Multi-Family,572.0
Gwinnett,2023-02-01,Feb 2023,2023,Single-Family,241.0
Gwinnett,2023-02-01,Feb 2023,2023,Multi-Family,280.0
Gwinnett,2023-03-01,Mar 2023,2023,Single-Family,423.0
Gwinnett,2023-03-01,Mar 2023,2023,Multi-Family,0.0
Gwinnett,2023-04-01,Apr 2023,2023,Single-Family,452.0
Gwinnett,2023-04-01,Apr 2023,2023,Multi-Family,0.0
Gwinnett,2023-05-01,May 2023,2023,Single-Family,390.0
Gwinnett,2023-05-01,May 2023,2023,Multi-Family,399.0
Gwinnett,2023-06-01,Jun 2023,2023,Single-Family,328.0
Gwinnett,2023-06-01,Jun 2023,2023,Multi-Family,0.0
Gwinnett,2023-07-01,Jul 2023,2023,Single-Family,416.0
Gwinnett,2023-07-01,Jul 2023,2023,Multi-Family,0.0
Gwinnett,2023-08-01,Aug 2023,2023,Single-Family,375.0
Gwinnett,2023-08-01,Aug 2023,2023,Multi-Family,0.0
Gwinnett,2023-09-01,Sep 2023,2023,Single-Family,275.0
Gwinnett,2023-09-01,Sep 2023,2023,Multi-Family,0.0
Gwinnett,2023-10-01,Oct 2023,2023,Single-Family,264.0
Gwinnett,2023-10-01,Oct 2023,2023,Multi-Family,87.0
Gwinnett,2023-11-01,Nov 2023,2023,Single-Family,325.0
Gwinnett,2023-11-01,Nov 2023,2023,Multi-Family,227.0
Gwinnett,2023-12-01,Dec 2023,2023,Single-Family,388.0
Gwinnett,2023-12-01,Dec 2023,2023,Multi-Family,0.0
Gwinnett,2024-01-01,Jan 2024,2024,Single-Family,217.0
Gwinnett,2024-01-01,Jan 2024,2024,Multi-Family,0.0
Gwinnett,2024-02-01,Feb 2024,2024,Single-Family,402.0
