Year,Level,Name,FIPS,SF_permits,SF_value,MF_permits,MF_value,2U_permits,2U_value,3-4U_permits,3-4U_value,5+U_permits,5+U_value
2024,County,Chattooga,13055,2,506434,0,0,0,0,0,0,0,0
2025,County,Chattooga,13055,2,506434,0,0,0,0,0,0,0,0
2024,County,Cherokee,13057,1796,848143632,869,152760951,6,3495352,11,3430426,852,145835173
2025,County,Cherokee,13057,1491,710582010,33,7972787,6,1595148,3,900000,24,5477639
2024,City/Other,Cherokee County Unincorporated Area,13057147000,1054,481342017,0,0,0,0,0,0,0,0
2025,City/Other,Cherokee County Unincorporated Area,13057147000,789,426590868,0,0,0,0,0,0,0,0
2024,City/Other,Chester,13091148000,2,605281,0,0,0,0,0,0,0,0
2025,City/Other,Chester,13091148000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Chickamauga,13295149000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Chickamauga,13295149000,6,1776100,2,323152,2,323152,0,0,0,0
2024,County,Clarke,13059,212,48390257,960,118149964,0,0,84,7769598,876,110380366
2025,County,Clarke,13059,226,48314638,522,73261472,0,0,0,0,522,73261472
2024,City/Other,Clarkesville,13137151000,10,3505000,0,0,0,0,0,0,0,0
2025,City/Other,Clarkesville,13137151000,11,5124285,0,0,0,0,0,0,0,0
2024,City/Other,Clarkston,13089152000,13,4977495,0,0,0,0,0,0,0,0
2025,City/Other,Clarkston,13089152000,6,1854539,0,0,0,0,0,0,0,0
2024,City/Other,Claxton,13109153000,8,1370200,0,0,0,0,0,0,0,0
2025,City/Other,Claxton,13109153000,8,1370200,0,0,0,0,0,0,0,0
2024,County,Clay,13061,6,1217257,0,0,0,0,0,0,0,0
2025,County,Clay,13061,5,870000,0,0,0,0,0,0,0,0
2024,City/Other,Clay County Unincorporated Area,13061154000,6,1217257,0,0,0,0,0,0,0,0
2025,City/Other,Clay County Unincorporated Area,13061154000,5,870000,0,0,0,0,0,0,0,0
2024,County,Clayton,13063,400,88055260,530,107306187,0,0,12,2640540,518,104665647
2024,City/Other,Clayton,13241155000,12,2909936,0,0,0,0,0,0,0,0
2025,County,Clayton,13063,399,104454282,394,77468319,0,0,0,0,394,77468319
2025,City/Other,Clayton,13241155000,5,1481025,0,0,0,0,0,0,0,0
2024,City/Other,Clayton County Unincorporated Area,13063156000,181,56015615,429,84452197,0,0,8,2180540,421,82271657
2025,City/Other,Clayton County Unincorporated Area,13063156000,322,91114905,140,31477000,0,0,0,0,140,31477000
2024,City/Other,Clermont,13139157000,3,750000,0,0,0,0,0,0,0,0
2025,City/Other,Clermont,13139157000,1,300000,0,0,0,0,0,0,0,0
2024,City/Other,Cleveland,13311158000,25,2383668,0,0,0,0,0,0,0,0
2025,City/Other,Cleveland,13311158000,24,4921400,0,0,0,0,0,0,0,0
2024,County,Clinch,13065,0,0,0,0,0,0,0,0,0,0
2025,County,Clinch,13065,0,0,0,0,0,0,0,0,0,0
